"uniqueIDsite","unIDyearSite","uniqueIDYear","uniqueID","site","year","block","row","treat","seedl_nr","height","diam_mm","dateYear","mort_date","notes","mortality","mort_binar","waxQual","damage","percentDebark","waxHeight_cm","rootCol","origNotes","mort2","rank","sumDamage","sumMort","ZeroDam","bxcx.x.t","bxcx.x","x.t","x","mean","sd","n","norm_stat","standardize"
"B10R6controlS6 clearcut","B10R6controlS6_2019_clearcut","B10R6controlS6_2019","B10R6controlS6","clearcut",2019,10,6,"control",6,33,5.2,2019,0,"alive","alive",0,0,40,10,0,"","alive",0,1,40,0,1,-1.08408906271493,40,-1.08617575040892,40,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS7 clearcut","B10R6controlS7_2019_clearcut","B10R6controlS7_2019","B10R6controlS7","clearcut",2019,10,6,"control",7,60,9.8,2019,0,"alive","alive",0,0,80,40,0,"","alive",0,1,180,0,1,-0.611415617226524,80,-0.577459599102206,80,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS7 clearcut","B10R6controlS7_2020_clearcut","B10R6controlS7_2020","B10R6controlS7","clearcut",2020,10,6,"control",7,64,16.2,2020,0,"alive","alive",0,0,100,0,0,"","alive",0,1,180,0,1,-0.454372007384348,100,-0.413672214724168,100,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS8 clearcut","B10R6controlS8_2018_clearcut","B10R6controlS8_2018","B10R6controlS8","clearcut",2018,10,6,"control",8,0,NA,2018,2018,"Hylobius","dead",1,0,200,40,0,"","Hylobius",1,1,200,1,1,0.0491701892538407,200,0.0951161697214249,200,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS9 clearcut","B10R6controlS9_2019_clearcut","B10R6controlS9_2019","B10R6controlS9","clearcut",2019,10,6,"control",9,33,6.1,2019,0,"alive","alive",0,0,440,90,0,"","alive",0,1,1640,1,1,0.6520260742874,440,0.673876765159969,440,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS9 clearcut","B10R6controlS9_2020_clearcut","B10R6controlS9_2020","B10R6controlS9","clearcut",2020,10,6,"control",9,0,NA,2020,2020,"Hylobius","dead",1,0,1200,0,0,"","Hylobius",1,1,1640,1,1,1.46816270367739,1200,1.41034618013232,1200,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS1 clearcut","B1R1controlS1_2018_clearcut","B1R1controlS1_2018","B1R1controlS1","clearcut",2018,1,1,"control",1,65,10.9,2018,0,"alive","alive",0,0,110,30,0,"","alive",0,1,3900,0,1,-0.386553836916145,110,-0.343713311290523,110,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS1 clearcut","B1R1controlS1_2019_clearcut","B1R1controlS1_2019","B1R1controlS1","clearcut",2019,1,1,"control",1,56,13.9,2019,0,"alive","alive",0,0,1200,100,0,"","alive",0,1,3900,0,1,1.46816270367739,1200,1.41034618013232,1200,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS1 clearcut","B1R1controlS1_2020_clearcut","B1R1controlS1_2020","B1R1controlS1","clearcut",2020,1,1,"control",1,65,17.3,2020,0,"alive","alive",0,0,2590,0,0,"","terminal",0,1,3900,0,1,2.13341684611161,2590,1.9750745849609,2590,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS10 clearcut","B1R1controlS10_2019_clearcut","B1R1controlS10_2019","B1R1controlS10","clearcut",2019,1,1,"control",10,38,7.9,2019,0,"alive","alive",0,0,480,100,0,"","alive",0,1,630,0,1,0.720588106379517,480,0.737746996101662,480,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
