"","uniqueIDsite","unIDyearSite","uniqueIDYear","uniqueID","site","year","block","row","treat","seedl_nr","height","diam_mm","dateYear","mort_date","notes","mortality","mort_binar","waxQual","damage","percentDebark","waxHeight_cm","rootCol","origNotes","mort2","rank","sumDamage","sumMort","ZeroDam"
"311","B5R5glueS1 clearcut","B5R5glueS1_2019_clearcut","B5R5glueS1_2019","B5R5glueS1","clearcut",2019,5,5,"glue",1,36,7.8,2019,0,"alive","alive",0,0,20,10,0,"","alive",0,1,20,0,1
"312","B5R5glueS8 clearcut","B5R5glueS8_2019_clearcut","B5R5glueS8_2019","B5R5glueS8","clearcut",2019,5,5,"glue",8,55,15.3,2019,0,"alive","alive",0,0,90,30,0,"","alive",0,1,90,0,1
"313","B5R6wax CS1 clearcut","B5R6wax CS1_2019_clearcut","B5R6wax CS1_2019","B5R6wax CS1","clearcut",2019,5,6,"wax C",1,34,5.7,2019,0,"alive","alive",0,2,80,70,0,"","alive",0,3,270,1,1
"314","B5R6wax CS1 clearcut","B5R6wax CS1_2020_clearcut","B5R6wax CS1_2020","B5R6wax CS1","clearcut",2020,5,6,"wax C",1,0,NA,2020,2020,"Hylobius","dead",1,2,190,0,0,"","Hylobius",1,3,270,1,1
"315","B5R6wax CS5 clearcut","B5R6wax CS5_2019_clearcut","B5R6wax CS5_2019","B5R6wax CS5","clearcut",2019,5,6,"wax C",5,64,15.8,2019,0,"alive","alive",0,2,230,50,0,"","alive",0,3,880,0,1
"316","B5R6wax CS5 clearcut","B5R6wax CS5_2020_clearcut","B5R6wax CS5_2020","B5R6wax CS5","clearcut",2020,5,6,"wax C",5,79,18.1,2020,0,"alive","alive",0,3,650,0,0,"","alive",0,4,880,0,1
"317","B5R6wax CS6 clearcut","B5R6wax CS6_2018_clearcut","B5R6wax CS6_2018","B5R6wax CS6","clearcut",2018,5,6,"wax C",6,61,12,2018,0,"alive","alive",0,0,300,30,0,"","bad condition",0,1,367.5,0,1
"318","B5R6wax CS6 clearcut","B5R6wax CS6_2019_clearcut","B5R6wax CS6_2019","B5R6wax CS6","clearcut",2019,5,6,"wax C",6,60,10,2019,0,"alive","alive",0,3,7.5,0,0,"","bad condition",0,4,367.5,0,1
"319","B5R6wax CS6 clearcut","B5R6wax CS6_2020_clearcut","B5R6wax CS6_2020","B5R6wax CS6","clearcut",2020,5,6,"wax C",6,58,7.9,2020,0,"alive","alive",0,3,60,0,0,"","bad condition",0,4,367.5,0,1
"320","B6R1glueS5 clearcut","B6R1glueS5_2020_clearcut","B6R1glueS5_2020","B6R1glueS5","clearcut",2020,6,1,"glue",5,70,19.3,2020,0,"alive","alive",0,0,60,0,0,"","alive",0,1,60,0,1
"321","B6R1glueS6 clearcut","B6R1glueS6_2019_clearcut","B6R1glueS6_2019","B6R1glueS6","clearcut",2019,6,1,"glue",6,29,7.4,2019,0,"alive","alive",0,0,30,10,0,"","alive",0,1,30,0,1
"322","B6R1glueS7 clearcut","B6R1glueS7_2020_clearcut","B6R1glueS7_2020","B6R1glueS7","clearcut",2020,6,1,"glue",7,75,16.4,2020,0,"alive","alive",0,0,70,0,0,"","alive",0,1,70,0,1
"323","B6R2chemicalS2 clearcut","B6R2chemicalS2_2018_clearcut","B6R2chemicalS2_2018","B6R2chemicalS2","clearcut",2018,6,2,"chemical",2,0,NA,2018,2018,"Hylobius","dead",1,0,70,30,0,"","Hylobius",1,1,70,1,1
"324","B6R2chemicalS4 clearcut","B6R2chemicalS4_2019_clearcut","B6R2chemicalS4_2019","B6R2chemicalS4","clearcut",2019,6,2,"chemical",4,48,8.2,2019,0,"alive","alive",0,0,50,20,0,"","alive",0,1,70,0,1
"325","B6R2chemicalS4 clearcut","B6R2chemicalS4_2020_clearcut","B6R2chemicalS4_2020","B6R2chemicalS4","clearcut",2020,6,2,"chemical",4,61,13.9,2020,0,"alive","alive",0,0,20,0,0,"","alive",0,1,70,0,1
"326","B6R2chemicalS5 clearcut","B6R2chemicalS5_2018_clearcut","B6R2chemicalS5_2018","B6R2chemicalS5","clearcut",2018,6,2,"chemical",5,43,7.4,2018,0,"alive","alive",0,0,40,30,0,"","alive",0,1,40,0,1
"327","B6R2chemicalS7 clearcut","B6R2chemicalS7_2020_clearcut","B6R2chemicalS7_2020","B6R2chemicalS7","clearcut",2020,6,2,"chemical",7,44,7.7,2020,0,"alive","alive",0,0,10,0,0,"","alive",0,1,10,0,1
"328","B6R2chemicalS9 clearcut","B6R2chemicalS9_2018_clearcut","B6R2chemicalS9_2018","B6R2chemicalS9","clearcut",2018,6,2,"chemical",9,51,6.9,2018,0,"alive","alive",0,0,20,10,0,"","alive",0,1,60,0,1
"329","B6R2chemicalS9 clearcut","B6R2chemicalS9_2019_clearcut","B6R2chemicalS9_2019","B6R2chemicalS9","clearcut",2019,6,2,"chemical",9,57,7.7,2019,0,"alive","alive",0,0,10,10,0,"","alive",0,1,60,0,1
"330","B6R2chemicalS9 clearcut","B6R2chemicalS9_2020_clearcut","B6R2chemicalS9_2020","B6R2chemicalS9","clearcut",2020,6,2,"chemical",9,63,14.5,2020,0,"alive","alive",0,0,30,0,0,"","alive",0,1,60,0,1
"331","B6R3controlS2 clearcut","B6R3controlS2_2019_clearcut","B6R3controlS2_2019","B6R3controlS2","clearcut",2019,6,3,"control",2,55,8.7,2019,0,"alive","alive",0,0,40,10,0,"","alive",0,1,40,0,1
"332","B6R3controlS4 clearcut","B6R3controlS4_2019_clearcut","B6R3controlS4_2019","B6R3controlS4","clearcut",2019,6,3,"control",4,42,7.5,2019,0,"alive","alive",0,0,410,90,0,"","alive",0,1,410,0,1
"333","B6R3controlS7 clearcut","B6R3controlS7_2018_clearcut","B6R3controlS7_2018","B6R3controlS7","clearcut",2018,6,3,"control",7,44,5.6,2018,0,"alive","alive",0,0,150,50,0,"","alive",0,1,210,0,1
"334","B6R3controlS7 clearcut","B6R3controlS7_2019_clearcut","B6R3controlS7_2019","B6R3controlS7","clearcut",2019,6,3,"control",7,28,6.1,2019,0,"alive","alive",0,0,60,30,0,"","alive",0,1,210,0,1
"335","B6R3controlS8 clearcut","B6R3controlS8_2018_clearcut","B6R3controlS8_2018","B6R3controlS8","clearcut",2018,6,3,"control",8,47,6.7,2018,0,"alive","alive",0,0,50,10,0,"","alive",0,1,490,0,1
"336","B6R3controlS8 clearcut","B6R3controlS8_2019_clearcut","B6R3controlS8_2019","B6R3controlS8","clearcut",2019,6,3,"control",8,49,10.7,2019,0,"alive","alive",0,0,140,50,0,"","alive",0,1,490,0,1
"337","B6R3controlS8 clearcut","B6R3controlS8_2020_clearcut","B6R3controlS8_2020","B6R3controlS8","clearcut",2020,6,3,"control",8,54,13.4,2020,0,"alive","alive",0,0,300,0,0,"","alive",0,1,490,0,1
"338","B6R3controlS9 clearcut","B6R3controlS9_2019_clearcut","B6R3controlS9_2019","B6R3controlS9","clearcut",2019,6,3,"control",9,44,8.7,2019,0,"alive","alive",0,0,20,10,0,"","alive",0,1,120,0,1
"339","B6R3controlS9 clearcut","B6R3controlS9_2020_clearcut","B6R3controlS9_2020","B6R3controlS9","clearcut",2020,6,3,"control",9,44,11.8,2020,0,"alive","alive",0,0,100,0,0,"","alive",0,1,120,0,1
"340","B6R4wax FS10 clearcut","B6R4wax FS10_2019_clearcut","B6R4wax FS10_2019","B6R4wax FS10","clearcut",2019,6,4,"wax F",10,54,10.8,2019,0,"alive","alive",0,2,700,50,0,"","alive",0,3,1000,0,1
"341","B6R4wax FS10 clearcut","B6R4wax FS10_2020_clearcut","B6R4wax FS10_2020","B6R4wax FS10","clearcut",2020,6,4,"wax F",10,63,14.4,2020,0,"alive","alive",0,3,300,0,0,"","alive",0,4,1000,0,1
"342","B6R4wax FS8 clearcut","B6R4wax FS8_2020_clearcut","B6R4wax FS8_2020","B6R4wax FS8","clearcut",2020,6,4,"wax F",8,35,6.1,2020,0,"alive","alive",0,4,150,0,0,"","terminal",0,5,150,0,1
"343","B6R4wax FS9 clearcut","B6R4wax FS9_2018_clearcut","B6R4wax FS9_2018","B6R4wax FS9","clearcut",2018,6,4,"wax F",9,53,10.9,2018,0,"alive","alive",0,2,20,10,0,"","alive",0,3,920,0,1
"344","B6R4wax FS9 clearcut","B6R4wax FS9_2019_clearcut","B6R4wax FS9_2019","B6R4wax FS9","clearcut",2019,6,4,"wax F",9,60,18,2019,0,"alive","alive",0,3,800,20,0,"","alive",0,4,920,0,1
"345","B6R4wax FS9 clearcut","B6R4wax FS9_2020_clearcut","B6R4wax FS9_2020","B6R4wax FS9","clearcut",2020,6,4,"wax F",9,81,18.4,2020,0,"alive","alive",0,3,100,0,0,"","alive",0,4,920,0,1
"346","B6R5wax CS10 clearcut","B6R5wax CS10_2018_clearcut","B6R5wax CS10_2018","B6R5wax CS10","clearcut",2018,6,5,"wax C",10,0,NA,2018,2018,"Hylastes","dead",1,1,25,20,0,"","Hylastes",1,2,25,1,1
"347","B6R5wax CS3 clearcut","B6R5wax CS3_2019_clearcut","B6R5wax CS3_2019","B6R5wax CS3","clearcut",2019,6,5,"wax C",3,53,10.8,2019,0,"alive","alive",0,2,100,30,0,"","alive",0,3,860,1,1
"348","B6R5wax CS3 clearcut","B6R5wax CS3_2020_clearcut","B6R5wax CS3_2020","B6R5wax CS3","clearcut",2020,6,5,"wax C",3,0,NA,2020,2020,"Hylobius","dead",1,3,760,0,0,"","Hylobius",1,4,860,1,1
"349","B6R5wax CS4 clearcut","B6R5wax CS4_2019_clearcut","B6R5wax CS4_2019","B6R5wax CS4","clearcut",2019,6,5,"wax C",4,56,13.1,2019,0,"alive","alive",0,2,520,100,0,"","alive",0,3,570,0,1
"350","B6R5wax CS4 clearcut","B6R5wax CS4_2020_clearcut","B6R5wax CS4_2020","B6R5wax CS4","clearcut",2020,6,5,"wax C",4,57,15.5,2020,0,"alive","alive",0,2,50,0,0,"","terminal",0,3,570,0,1
"351","B6R5wax CS5 clearcut","B6R5wax CS5_2020_clearcut","B6R5wax CS5_2020","B6R5wax CS5","clearcut",2020,6,5,"wax C",5,0,NA,2020,2020,"Hylobius","dead",1,3,340,0,0,"","Hylobius",1,4,340,1,1
"352","B6R5wax CS7 clearcut","B6R5wax CS7_2018_clearcut","B6R5wax CS7_2018","B6R5wax CS7","clearcut",2018,6,5,"wax C",7,0,NA,2018,2018,"Hylastes","dead",1,0,10,10,0,"","Hylastes",1,1,10,1,1
"353","B6R6collarS1 clearcut","B6R6collarS1_2020_clearcut","B6R6collarS1_2020","B6R6collarS1","clearcut",2020,6,6,"collar",1,46,10.4,2020,0,"alive","alive",0,0,50,0,0,"Z","alive",0,1,50,0,1
"354","B6R6collarS4 clearcut","B6R6collarS4_2019_clearcut","B6R6collarS4_2019","B6R6collarS4","clearcut",2019,6,6,"collar",4,42,7.9,2019,0,"alive","alive",0,0,10,10,0,"","alive",0,1,10,0,1
"355","B6R6collarS7 clearcut","B6R6collarS7_2019_clearcut","B6R6collarS7_2019","B6R6collarS7","clearcut",2019,6,6,"collar",7,39,5.5,2019,0,"alive","alive",0,0,10,10,0,"","alive",0,1,10,0,1
"356","B7R1controlS1 clearcut","B7R1controlS1_2020_clearcut","B7R1controlS1_2020","B7R1controlS1","clearcut",2020,7,1,"control",1,51,10.5,2020,0,"alive","alive",0,0,300,0,0,"","alive",0,1,300,0,1
"357","B7R1controlS10 clearcut","B7R1controlS10_2019_clearcut","B7R1controlS10_2019","B7R1controlS10","clearcut",2019,7,1,"control",10,37,7.8,2019,0,"alive","alive",0,0,50,10,0,"","alive",0,1,1150,1,1
"358","B7R1controlS10 clearcut","B7R1controlS10_2020_clearcut","B7R1controlS10_2020","B7R1controlS10","clearcut",2020,7,1,"control",10,0,NA,2020,2020,"Hylobius","dead",1,0,1100,0,0,"","Hylobius",1,1,1150,1,1
"359","B7R1controlS2 clearcut","B7R1controlS2_2019_clearcut","B7R1controlS2_2019","B7R1controlS2","clearcut",2019,7,1,"control",2,0,NA,2019,2019,"Hylobius","dead",1,0,500,100,0,"","Hylobius",1,1,500,1,1
"360","B7R1controlS3 clearcut","B7R1controlS3_2018_clearcut","B7R1controlS3_2018","B7R1controlS3","clearcut",2018,7,1,"control",3,34,5,2018,0,"alive","alive",0,0,10,10,0,"","alive",0,1,260,0,1
"361","B7R1controlS3 clearcut","B7R1controlS3_2020_clearcut","B7R1controlS3_2020","B7R1controlS3","clearcut",2020,7,1,"control",3,36,9.1,2020,0,"alive","alive",0,0,250,0,0,"","terminal",0,1,260,0,1
"362","B7R1controlS5 clearcut","B7R1controlS5_2019_clearcut","B7R1controlS5_2019","B7R1controlS5","clearcut",2019,7,1,"control",5,30,4.8,2019,0,"alive","alive",0,0,900,100,0,"","alive",0,1,900,1,1
"363","B7R1controlS6 clearcut","B7R1controlS6_2018_clearcut","B7R1controlS6_2018","B7R1controlS6","clearcut",2018,7,1,"control",6,32,4.4,2018,0,"alive","alive",0,0,10,10,0,"","alive",0,1,140,0,1
"364","B7R1controlS6 clearcut","B7R1controlS6_2019_clearcut","B7R1controlS6_2019","B7R1controlS6","clearcut",2019,7,1,"control",6,41,8.1,2019,0,"alive","alive",0,0,30,10,0,"","alive",0,1,140,0,1
"365","B7R1controlS6 clearcut","B7R1controlS6_2020_clearcut","B7R1controlS6_2020","B7R1controlS6","clearcut",2020,7,1,"control",6,46,11,2020,0,"alive","alive",0,0,100,0,0,"","alive",0,1,140,0,1
"366","B7R1controlS8 clearcut","B7R1controlS8_2019_clearcut","B7R1controlS8_2019","B7R1controlS8","clearcut",2019,7,1,"control",8,35,6.8,2019,0,"alive","alive",0,0,120,30,0,"","alive",0,1,290,0,1
"367","B7R1controlS8 clearcut","B7R1controlS8_2020_clearcut","B7R1controlS8_2020","B7R1controlS8","clearcut",2020,7,1,"control",8,39,7.1,2020,0,"alive","alive",0,0,170,0,0,"","alive",0,1,290,0,1
"368","B7R1controlS9 clearcut","B7R1controlS9_2018_clearcut","B7R1controlS9_2018","B7R1controlS9","clearcut",2018,7,1,"control",9,25,6.8,2018,0,"alive","alive",0,0,30,20,0,"","alive",0,1,830,1,1
"369","B7R1controlS9 clearcut","B7R1controlS9_2020_clearcut","B7R1controlS9_2020","B7R1controlS9","clearcut",2020,7,1,"control",9,0,NA,2020,2020,"Hylobius","dead",1,0,800,0,0,"","Hylobius",1,1,830,1,1
"370","B7R2wax FS1 clearcut","B7R2wax FS1_2019_clearcut","B7R2wax FS1_2019","B7R2wax FS1","clearcut",2019,7,2,"wax F",1,48,7.5,2019,0,"alive","alive",0,2,10,10,0,"","alive",0,3,10,0,1
"371","B7R2wax FS2 clearcut","B7R2wax FS2_2019_clearcut","B7R2wax FS2_2019","B7R2wax FS2","clearcut",2019,7,2,"wax F",2,61,12.4,2019,0,"alive","alive",0,1,80,40,0,"","alive",0,2,270,0,1
"372","B7R2wax FS2 clearcut","B7R2wax FS2_2020_clearcut","B7R2wax FS2_2020","B7R2wax FS2","clearcut",2020,7,2,"wax F",2,56,13.2,2020,0,"alive","alive",0,2,190,0,0,"","alive",0,3,270,0,1
"373","B7R2wax FS3 clearcut","B7R2wax FS3_2019_clearcut","B7R2wax FS3_2019","B7R2wax FS3","clearcut",2019,7,2,"wax F",3,42,8.5,2019,0,"alive","alive",0,1,220,50,0,"","alive",0,4,460,1,1
"374","B7R2wax FS3 clearcut","B7R2wax FS3_2020_clearcut","B7R2wax FS3_2020","B7R2wax FS3","clearcut",2020,7,2,"wax F",3,0,NA,2020,2020,"Hylobius","dead",1,3,240,0,0,"","Hylobius",1,4,460,1,1
"375","B7R2wax FS6 clearcut","B7R2wax FS6_2020_clearcut","B7R2wax FS6_2020","B7R2wax FS6","clearcut",2020,7,2,"wax F",6,33,7.3,2020,0,"alive","alive",0,3,120,0,0,"","terminal",0,4,120,0,1
"376","B7R3chemicalS1 clearcut","B7R3chemicalS1_2019_clearcut","B7R3chemicalS1_2019","B7R3chemicalS1","clearcut",2019,7,3,"chemical",1,46,10.4,2019,0,"alive","alive",0,0,30,10,0,"","alive",0,1,30,0,1
"377","B7R3chemicalS2 clearcut","B7R3chemicalS2_2019_clearcut","B7R3chemicalS2_2019","B7R3chemicalS2","clearcut",2019,7,3,"chemical",2,37,6.8,2019,0,"alive","alive",0,0,10,10,0,"","alive",0,1,10,0,1
"378","B7R3chemicalS3 clearcut","B7R3chemicalS3_2019_clearcut","B7R3chemicalS3_2019","B7R3chemicalS3","clearcut",2019,7,3,"chemical",3,43,7.4,2019,0,"alive","alive",0,0,20,10,0,"","alive",0,1,20,0,1
"379","B7R3chemicalS6 clearcut","B7R3chemicalS6_2019_clearcut","B7R3chemicalS6_2019","B7R3chemicalS6","clearcut",2019,7,3,"chemical",6,33,6.1,2019,0,"alive","alive",0,0,30,10,0,"","alive",0,1,30,0,1
"380","B7R3chemicalS8 clearcut","B7R3chemicalS8_2019_clearcut","B7R3chemicalS8_2019","B7R3chemicalS8","clearcut",2019,7,3,"chemical",8,43,8.5,2019,0,"alive","alive",0,0,10,10,0,"","terminal",0,1,10,0,1
"381","B7R4glueS1 clearcut","B7R4glueS1_2018_clearcut","B7R4glueS1_2018","B7R4glueS1","clearcut",2018,7,4,"glue",1,42,7.4,2018,0,"alive","alive",0,0,20,10,0,"","alive",0,1,600,0,1
"382","B7R4glueS1 clearcut","B7R4glueS1_2019_clearcut","B7R4glueS1_2019","B7R4glueS1","clearcut",2019,7,4,"glue",1,40,6.2,2019,0,"alive","alive",0,0,500,60,0,"","alive",0,1,600,0,1
"383","B7R4glueS1 clearcut","B7R4glueS1_2020_clearcut","B7R4glueS1_2020","B7R4glueS1","clearcut",2020,7,4,"glue",1,50,11.2,2020,0,"alive","alive",0,0,80,0,0,"","alive",0,1,600,0,1
"384","B7R4glueS10 clearcut","B7R4glueS10_2020_clearcut","B7R4glueS10_2020","B7R4glueS10","clearcut",2020,7,4,"glue",10,58,12.7,2020,0,"alive","alive",0,0,40,0,0,"","alive",0,1,40,0,1
"385","B7R4glueS2 clearcut","B7R4glueS2_2020_clearcut","B7R4glueS2_2020","B7R4glueS2","clearcut",2020,7,4,"glue",2,24,5.8,2020,0,"alive","alive",0,0,30,0,0,"","alive",0,1,30,0,1
"386","B7R4glueS3 clearcut","B7R4glueS3_2019_clearcut","B7R4glueS3_2019","B7R4glueS3","clearcut",2019,7,4,"glue",3,42,8.5,2019,0,"alive","alive",0,0,500,60,0,"","alive",0,1,550,0,1
"387","B7R4glueS3 clearcut","B7R4glueS3_2020_clearcut","B7R4glueS3_2020","B7R4glueS3","clearcut",2020,7,4,"glue",3,31,11.2,2020,0,"alive","alive",0,0,50,0,0,"","terminal",0,1,550,0,1
"388","B7R4glueS4 clearcut","B7R4glueS4_2018_clearcut","B7R4glueS4_2018","B7R4glueS4","clearcut",2018,7,4,"glue",4,34,6.2,2018,0,"alive","alive",0,0,60,30,0,"","alive",0,1,260,0,1
"389","B7R4glueS4 clearcut","B7R4glueS4_2019_clearcut","B7R4glueS4_2019","B7R4glueS4","clearcut",2019,7,4,"glue",4,38,8.7,2019,0,"alive","alive",0,0,50,50,0,"","alive",0,1,260,0,1
"390","B7R4glueS4 clearcut","B7R4glueS4_2020_clearcut","B7R4glueS4_2020","B7R4glueS4","clearcut",2020,7,4,"glue",4,31,10.5,2020,0,"alive","alive",0,0,150,0,0,"","terminal",0,1,260,0,1
"391","B7R4glueS6 clearcut","B7R4glueS6_2020_clearcut","B7R4glueS6_2020","B7R4glueS6","clearcut",2020,7,4,"glue",6,49,11.7,2020,0,"alive","alive",0,0,30,0,0,"","alive",0,1,30,0,1
"392","B7R4glueS7 clearcut","B7R4glueS7_2018_clearcut","B7R4glueS7_2018","B7R4glueS7","clearcut",2018,7,4,"glue",7,0,NA,2018,2018,"Hylobius","dead",1,0,130,60,0,"","Hylobius",1,1,130,1,1
"393","B7R4glueS8 clearcut","B7R4glueS8_2018_clearcut","B7R4glueS8_2018","B7R4glueS8","clearcut",2018,7,4,"glue",8,42,6,2018,0,"alive","alive",0,0,40,20,0,"","alive",0,1,1030,0,1
"394","B7R4glueS8 clearcut","B7R4glueS8_2019_clearcut","B7R4glueS8_2019","B7R4glueS8","clearcut",2019,7,4,"glue",8,33,11,2019,0,"alive","alive",0,0,900,90,0,"","alive",0,1,1030,0,1
"395","B7R4glueS8 clearcut","B7R4glueS8_2020_clearcut","B7R4glueS8_2020","B7R4glueS8","clearcut",2020,7,4,"glue",8,56,15.9,2020,0,"alive","alive",0,0,90,0,0,"","alive",0,1,1030,0,1
"396","B7R4glueS9 clearcut","B7R4glueS9_2019_clearcut","B7R4glueS9_2019","B7R4glueS9","clearcut",2019,7,4,"glue",9,26,6.1,2019,0,"alive","alive",0,0,30,10,0,"","alive",0,1,50,0,1
"397","B7R4glueS9 clearcut","B7R4glueS9_2020_clearcut","B7R4glueS9_2020","B7R4glueS9","clearcut",2020,7,4,"glue",9,47,7.7,2020,0,"alive","alive",0,0,20,0,0,"","alive",0,1,50,0,1
"398","B7R5wax CS1 clearcut","B7R5wax CS1_2019_clearcut","B7R5wax CS1_2019","B7R5wax CS1","clearcut",2019,7,5,"wax C",1,61,11.6,2019,0,"alive","alive",0,3,630,100,0,"","alive",0,4,890,0,1
"399","B7R5wax CS1 clearcut","B7R5wax CS1_2020_clearcut","B7R5wax CS1_2020","B7R5wax CS1","clearcut",2020,7,5,"wax C",1,54,8.2,2020,0,"alive","alive",0,3,260,0,0,"","terminal",0,4,890,0,1
"400","B7R5wax CS10 clearcut","B7R5wax CS10_2020_clearcut","B7R5wax CS10_2020","B7R5wax CS10","clearcut",2020,7,5,"wax C",10,50,10.5,2020,0,"alive","alive",0,3,700,0,0,"","terminal",0,4,700,0,1
"401","B7R5wax CS2 clearcut","B7R5wax CS2_2019_clearcut","B7R5wax CS2_2019","B7R5wax CS2","clearcut",2019,7,5,"wax C",2,58,7.7,2019,0,"alive","alive",0,4,930,100,0,"","alive",0,1,930,0,1
"402","B7R5wax CS4 clearcut","B7R5wax CS4_2019_clearcut","B7R5wax CS4_2019","B7R5wax CS4","clearcut",2019,7,5,"wax C",4,53,8,2019,0,"alive","alive",0,1,160,50,0,"","alive",0,4,160,0,1
"403","B7R5wax CS7 clearcut","B7R5wax CS7_2019_clearcut","B7R5wax CS7_2019","B7R5wax CS7","clearcut",2019,7,5,"wax C",7,43,9.5,2019,0,"alive","alive",0,2,20,10,0,"","alive",0,3,20,1,1
"404","B7R5wax CS9 clearcut","B7R5wax CS9_2020_clearcut","B7R5wax CS9_2020","B7R5wax CS9","clearcut",2020,7,5,"wax C",9,0,NA,2020,2020,"Hylobius","dead",1,2,600,0,0,"","Hylobius",1,3,600,1,1
"405","B7R6collarS1 clearcut","B7R6collarS1_2019_clearcut","B7R6collarS1_2019","B7R6collarS1","clearcut",2019,7,6,"collar",1,30,6.1,2019,0,"alive","alive",0,0,1100,100,0,"","alive",0,1,1100,0,1
